單詞,情緒分數
"
",0.037232
这,0.010469
个,0.002308
秋天,0.999963
把,0.009551
女友,0.999963
感,0.976594
安排,0.022085
的,0.368506
明明白白,0.000383
的,0.368506
！,0.001203
"
#",0.014012
随手,0.995304
拍,0.015503
#,0.014012
来,0.885449
拍照,0.006576
了,0.103906
cleanmakeup,0.494144
 ,0.037232
方圆,0.999963
脸,0.000479
10,0.000888
min,0.009125
淡妆,0.987488
白月光,0.999963
的,0.368506
感觉,0.051982
"
",0.037232
整,0.027509
个,0.002308
妆容,0.982621
敲,0.08747
简单,0.999724
～,0.021229
先,0.108487
发,0.00032
一,0.010558
波,0.952672
展示,0.987656
"
#",0.014012
方圆脸,0.997486
#,0.014012
圆,0.999916
脸,0.000479
妆容,0.982621
#,0.014012
日常,0.999962
妆容,0.982621
#,0.014012
妆容,0.982621
分享,0.999963
#,0.014012
快速,0.999962
出门妆,0.145759
#cle,0.017913
anmakeup,0.051145
方圆,0.999963
脸,0.000479
clean,0.99396
 makeup,0.789017
🫧,0.037232
清透感,0.999928
～,0.021229
淡,0.174879
妆,0.98104
不,0.002385
淡,0.174879
人,0.998103
！,0.001203
上,0.226084
次,0.004085
po,0.000819
的,0.368506
这,0.010469
次,0.004085
来,0.885449
咯,0.027135
！,0.001203
"
",0.037232
天气,0.999153
热,0.000263
了,0.103906
 ,0.037232
都,0.299263
不,0.002385
喜欢,0.999962
哑光,0.001882
的,0.368506
妆面,0.994966
了,0.103906
"
",0.037232
和,0.604069
清透,0.999868
水光肌,0.999962
够,0.999955
搭,0.99948
的,0.368506
"
",0.037232
淡妆,0.987488
不,0.002385
淡,0.174879
人,0.998103
系列,0.999952
！,0.001203
"
",0.037232
早八,0.076557
也,0.912719
可以,0.999954
麻溜,0.007975
的,0.368506
画,0.999919
起来,0.996332
"
",0.037232
#,0.014012
韩系,0.999962
妆容,0.982621
#,0.014012
新手,0.006561
化妆,0.87592
#,0.014012
淡妆,0.987488
#,0.014012
妆容,0.982621
教程,0.999942
#,0.014012
笔记,0.998288
灵感,0.999963
#,0.014012
今日,0.99994
妆容,0.982621
@,0.100674
美妆薯,0.995972
@,0.100674
美妆,0.999963
情报局,0.99558
方圆,0.999963
脸,0.000479
试试,0.999898
10,0.000888
min,0.009125
嫩妹,0.999955
韩妆,0.999386
，,0.009304
网感,0.202388
上镜,0.999958
#,0.014012
尝试,0.999963
一,0.010558
个,0.002308
新,0.999898
look,0.797098
#,0.014012
方圆脸,0.997486
妆容,0.982621
#,0.014012
日常,0.999962
嫩妹妆,0.999958
#,0.014012
韩系,0.999962
妆容,0.982621
#,0.014012
撸,0.224408
个,0.002308
妆,0.98104
#,0.014012
斩男妆,0.003518
这样,0.021569
画,0.999919
#,0.014012
韩式,0.999042
妆容,0.982621
#,0.014012
日常,0.999962
妆容,0.982621
#,0.014012
早八,0.076557
校园,0.999963
妆容,0.982621
#,0.014012
甜妹妆,0.999963
#,0.014012
白开水,5.9e-05
妆容,0.982621
#,0.014012
伪,0.004305
素颜,0.392485
裸妆,0.001253
#,0.014012
新手,0.006561
化妆,0.87592
教程,0.999942
方圆,0.999963
脸,0.000479
.,0.001347
有,0.51643
种,0.988798
毫不,0.001846
费力,0.895967
的,0.368506
漂亮,0.999962
爱上,0.999963
无眼线,0.004772
和,0.604069
睫毛膏,0.992429
的,0.368506
妆容,0.982621
"
",0.037232
发现,0.002492
有时候,0.188283
复杂,0.003534
的,0.368506
妆容,0.982621
反而,0.358553
会,0.599614
显得,0.042592
用力,0.507829
过,0.500744
猛,0.380399
"
",0.037232
简单,0.999724
得体,0.999962
的,0.368506
服装,0.31949
➕,0.033441
提高,0.999549
面部,0.248816
平整度,0.566453
 ,0.037232
肤色,0.999774
 ,0.037232
均匀,0.999961
的,0.368506
底妆,0.965781
"
",0.037232
才,0.000379
是,0.001972
变美,0.999962
的,0.368506
终极,0.999943
法宝,0.999962
"~
#",0.004133
方圆,0.999963
脸,0.000479
妆容,0.982621
#,0.014012
灵感,0.999963
笔记,0.998288
#cleanmakeup#,0.098709
变美,0.999962
🌸韩系,0.99557
妆容,0.982621
：,0.065169
比,0.145275
春天,0.999963
更,0.998421
早,0.996451
到来,0.999962
 ,0.037232
清纯,0.999962
甲,0.00238
 ,0.037232
美貌,0.999963
A,0.033441
眼影,0.999963
"
dasique",0.164415
 mlik,0.074963
 latte,0.030223
"
",0.037232
腮红,0.2295
"
lilybyred",0.373673
 blurry,0.712597
" lavender
",0.034813
口红,0.961221
"
Romand",0.033441
 custard,0.524439
 mauve,0.017311
"
peripera",0.096228
 pure,0.989056
 pink,0.999939
"
#",0.014012
浪漫,0.999963
生活,0.999963
的,0.368506
记录,0.03874
者,0.085922
#,0.014012
妆容,0.982621
分享,0.999963
#ins,0.046474
博主,0.998536
#,0.014012
眼影,0.999963
分享,0.999963
#,0.014012
口红,0.961221
分享,0.999963
#,0.014012
尝试,0.999963
一,0.010558
个,0.002308
新,0.999898
look#,0.134832
今日,0.99994
上班,0.99996
早八妆,0.074941
全,0.999932
哑光,0.001882
 | ,0.005608
低饱和,0.146435
厌世,0.999959
微醺妆,0.998352
💡,0.033441
妆容,0.982621
小,0.994681
tips,0.541088
"
",0.037232
① ,0.053537
妆容,0.982621
重点,0.985808
在,0.566759
眼妆,0.119996
和,0.604069
腮红,0.2295
，,0.009304
很,0.999963
适合,0.999956
中庭,0.847478
偏,0.005561
长,0.998797
的,0.368506
姐妹,0.999963
"
",0.037232
② ,0.009519
眼妆,0.119996
重点,0.985808
在,0.566759
下眼影,0.999963
